date,temperature,humidity,windspeed,raining,rainsoon
10/21/2020 22:00,27.6,58,16.92,0,0
10/21/2020 22:15,27.3,60,19.44,0,0
10/21/2020 22:30,26.3,63,24.48,0,0
10/21/2020 22:45,25.7,67,17.64,0,0
10/21/2020 23:00,25.2,68,17.64,0,0
10/21/2020 23:15,24.3,71,17.28,0,0
10/21/2020 23:30,23.7,75,16.56,0,0
10/21/2020 23:45,23,77,10.8,0,0
10/22/2020 0:00,22.4,79,8.64,0,0
10/22/2020 0:15,21.8,81,7.92,0,0
10/22/2020 0:30,21.4,81,7.56,0,0
10/22/2020 0:45,21.2,82,7.2,0,0
10/22/2020 1:00,20.8,82,9,0,0
10/22/2020 1:15,20.9,82,10.44,0,0
10/22/2020 1:30,20.9,82,9.72,0,0
10/22/2020 1:45,21.2,81,7.56,0,0
10/22/2020 2:00,20.8,81,5.04,0,0
10/22/2020 2:15,20.7,81,5.04,0,0
10/22/2020 2:30,20.6,81,4.32,0,0
10/22/2020 2:45,20.6,81,3.6,0,0
10/22/2020 3:00,20.5,81,9.36,0,0
10/22/2020 3:15,20.9,80,12.24,0,0
10/22/2020 3:30,21,79,15.48,0,0
10/22/2020 3:45,20.8,80,18,0,0
10/22/2020 4:00,20.6,81,14.76,0,0
10/22/2020 4:15,20.6,81,12.6,0,0
10/22/2020 4:30,20.5,81,14.04,0,0
10/22/2020 4:45,20.5,81,12.24,0,0
10/22/2020 5:00,20.4,81,11.52,0,0
10/22/2020 5:15,20.2,82,11.16,0,0
10/22/2020 5:30,20,82,11.52,0,0
10/22/2020 5:45,19.8,82,8.64,0,0
10/22/2020 6:00,19.7,83,10.44,0,0
10/22/2020 6:15,19.7,83,10.08,0,0
10/22/2020 6:30,19.5,83,11.52,0,0
10/22/2020 6:45,19.5,83,11.88,0,0
10/22/2020 7:00,19.5,82,12.96,0,0
10/22/2020 7:15,19.4,82,14.4,0,0
10/22/2020 7:30,19.4,82,11.52,0,0
10/22/2020 7:45,19.5,82,14.76,0,0
10/22/2020 8:00,19.6,83,15.12,0,0
10/22/2020 8:15,19.6,83,15.84,0,0
10/22/2020 8:30,19.7,83,13.68,0,0
10/22/2020 8:45,19.6,82,15.84,0,0
10/22/2020 9:00,19.6,82,15.84,0,0
10/22/2020 9:15,19.6,83,14.4,0,0
10/22/2020 9:30,19.5,83,14.4,0,0
10/22/2020 9:45,19.5,82,14.4,0,0
10/22/2020 10:00,19.6,83,15.84,0,0
10/22/2020 10:15,19.6,82,21.96,0,0
10/22/2020 10:30,19.5,82,16.56,0,0
10/22/2020 10:45,19.6,82,19.44,0,0
10/22/2020 11:00,19.6,82,17.64,0,0
10/22/2020 11:15,19.6,82,18,0,0
10/22/2020 11:30,19.7,82,17.64,0,0
10/22/2020 11:45,19.6,82,21.24,0,0
10/22/2020 12:00,19.6,82,21.6,0,0
10/22/2020 12:15,19.5,82,21.6,0,0
10/22/2020 12:30,19.5,83,17.64,0,0
10/22/2020 12:45,19.4,82,20.16,0,0
10/22/2020 13:00,19.7,83,20.16,0,0
10/22/2020 13:15,20,82,21.96,0,0
10/22/2020 13:30,20.3,82,18,0,0
10/22/2020 13:45,20.7,82,25.92,0,0
10/22/2020 14:00,21.1,81,25.56,0,0
10/22/2020 14:15,21.8,80,31.68,0,0
10/22/2020 14:30,22.5,79,23.04,0,0
10/22/2020 14:45,23.1,76,26.28,0,0
10/22/2020 15:00,24,72,20.52,0,0
10/22/2020 15:15,24.7,69,22.68,0,0
10/22/2020 15:30,25.3,67,24.84,0,0
10/22/2020 15:45,25.4,64,28.44,0,0
10/22/2020 16:00,25.9,63,23.4,0,0
10/22/2020 16:15,26.5,61,23.4,0,0
10/22/2020 16:30,27.6,59,13.68,0,0
10/22/2020 16:45,27.4,56,23.76,0,0
10/22/2020 17:00,26.8,56,27.36,0,0
10/22/2020 17:15,26.5,57,24.84,0,0
10/22/2020 17:30,27.6,55,14.4,0,0
10/22/2020 17:45,27.2,54,15.48,0,0
10/22/2020 18:00,28.5,49,12.96,0,0
10/22/2020 18:15,29.3,46,18.36,0,0
10/22/2020 18:30,29.1,45,25.56,0,0
10/22/2020 18:45,29,44,14.4,0,0
10/22/2020 19:00,29.6,43,21.96,0,0
10/22/2020 19:15,30.2,42,19.08,0,0
10/22/2020 19:30,30.2,40,14.76,0,0
10/22/2020 19:45,29.7,41,23.04,0,0
10/22/2020 20:00,30.1,39,13.32,0,0
10/22/2020 20:15,30.6,38,30.96,0,0
10/22/2020 20:30,30.4,37,32.76,0,0
10/22/2020 20:45,30.3,37,24.48,0,0
10/22/2020 21:00,30.4,37,30.24,0,0
10/22/2020 21:15,30.7,38,14.76,0,0
10/22/2020 21:30,30.2,38,25.92,0,0
10/22/2020 21:45,29.4,39,28.44,0,0
10/22/2020 22:00,29,39,25.56,0,0
10/22/2020 22:15,28.7,40,31.32,0,0
10/22/2020 22:30,28,41,24.48,0,0
10/22/2020 22:45,27.4,42,25.56,0,0
10/22/2020 23:00,26.6,44,27,0,0
10/22/2020 23:15,25.9,45,25.2,0,0
10/22/2020 23:30,25.3,47,23.04,0,0
10/22/2020 23:45,24.7,50,16.2,0,0
10/23/2020 0:00,24.5,52,18,0,0
10/23/2020 0:15,24,54,14.76,0,0
10/23/2020 0:30,23.7,57,18.36,0,0
10/23/2020 0:45,23.6,58,20.16,0,0
10/23/2020 1:00,23.4,60,20.88,0,0
10/23/2020 1:15,23.3,61,20.52,0,0
10/23/2020 1:30,23.2,63,28.08,0,0
10/23/2020 1:45,23,64,22.68,0,0
10/23/2020 2:00,22.8,66,21.96,0,0
10/23/2020 2:15,22.8,67,20.16,0,0
10/23/2020 2:30,22.6,67,14.76,0,0
10/23/2020 2:45,22.4,68,14.4,0,0
10/23/2020 3:00,22.2,69,15.84,0,0
10/23/2020 3:15,22.1,69,14.04,0,0
10/23/2020 3:30,21.7,71,9.72,0,0
10/23/2020 3:45,21.5,72,10.08,0,0
10/23/2020 4:00,21.1,74,7.92,0,0
10/23/2020 4:15,20.9,75,9.36,0,0
10/23/2020 4:30,20.6,77,8.64,0,0
10/23/2020 4:45,20.3,78,6.12,0,0
10/23/2020 5:00,20.2,79,11.16,0,0
10/23/2020 5:15,20.2,79,11.16,0,0
10/23/2020 5:30,20.1,80,12.96,0,0
10/23/2020 5:45,20.1,80,14.04,0,0
10/23/2020 6:00,20,80,14.4,0,0
10/23/2020 6:15,19.9,81,16.56,0,0
10/23/2020 6:30,19.9,81,15.12,0,0
10/23/2020 6:45,19.7,82,15.12,0,0
10/23/2020 7:00,19.7,82,15.12,0,0
10/23/2020 7:15,19.8,82,14.04,0,0
10/23/2020 7:30,19.6,82,12.96,0,0
10/23/2020 7:45,19.8,82,15.84,0,0
10/23/2020 8:00,19.8,82,16.92,0,0
10/23/2020 8:15,19.8,83,14.76,0,0
10/23/2020 8:30,19.8,83,12.6,0,0
10/23/2020 8:45,20.1,82,12.6,0,0
10/23/2020 9:00,20.2,82,16.56,0,0
10/23/2020 9:15,20.3,82,15.84,0,0
10/23/2020 9:30,20.4,82,14.4,0,0
10/23/2020 9:45,20.3,82,10.08,0,0
10/23/2020 10:00,20,82,6.48,0,0
10/23/2020 10:15,20,82,10.44,0,0
10/23/2020 10:30,18.6,74,11.52,0,0
10/23/2020 10:45,15.6,76,9.72,0,0
10/23/2020 11:00,13.7,78,10.44,0,0
10/23/2020 11:15,12.5,80,6.12,0,0
10/23/2020 11:30,11.6,81,14.04,0,0
10/23/2020 11:45,11.1,83,10.08,0,0
10/23/2020 12:00,10.4,84,12.6,0,0
10/23/2020 12:15,9.8,86,12.24,0,0
10/23/2020 12:30,8.9,86,14.76,0,0
10/23/2020 12:45,8.2,86,11.88,0,0
10/23/2020 13:00,7.6,87,14.4,0,0
10/23/2020 13:15,7.3,87,12.6,0,0
